year,stage,h1,h2,h3,h4
2000,1,44438.39654737936,2823.291452715161,12352.17162298484,12047.75601688613
2000,2,55178.72966056035,4008.974508352069,14568.60257273931,13696.37786234
2000,3,49240.61340725807,4481.306593372258,12875.221364668387,17367.70696824774
2000,4,30393.575651043666,2014.7183430996668,10626.049365236,15033.425097657333
2000,5,20097.791456656774,2149.196446572903,5271.427718625484,9989.07418724871
2000,6,17624.46998698133,2620.249861654333,3551.109350586,3590.9277994806666
2000,7,16499.405997985163,4631.896720640323,2777.7969222541933,2308.411400580968
2000,8,15987.342521422257,2917.0924662929033,2895.163763231613,1691.13020177
2000,9,26353.777864585667,12242.921891277334,2680.191918946333,1442.565397135
2000,10,16014.731728831935,10683.995006932902,2392.24141963871,1494.3820840164515
2000,11,23607.334179690333,4645.897696941333,4790.493998210667,2596.7193481446666
2000,12,35517.63079637162,3393.55226972129,10343.553899950644,6590.44909274258
2001,1,33321.54838709677,7842.096774193548,9931.290322580646,7932.870967741936
2001,2,33791.28571428572,13556.25,5226.357142857143,8390.392857142857
2001,3,30177.451612903227,7322.580645161291,5191.064516129032,10801.516129032258
2001,4,23080.066666666666,5176.633333333333,3929.5666666666666,11497.2
2001,5,18888.387096774193,6453.451612903225,2532.032258064516,5730.064516129032
2001,6,17261.266666666666,6964.833333333333,2463.0,3130.8333333333335
2001,7,14716.58064516129,8403.806451612903,1991.1935483870968,1904.0
2001,8,12558.677419354839,5692.967741935484,1839.8064516129032,1354.8709677419354
2001,9,13380.9,5500.733333333334,1939.6666666666667,1046.9333333333334
2001,10,19567.774193548386,16289.193548387097,2148.5806451612902,1364.4516129032259
2001,11,22287.733333333334,4883.8,3317.1666666666665,2335.766666666667
2001,12,34483.41935483871,5350.677419354839,6171.677419354839,5501.225806451613
2002,1,50972.645161290326,5024.741935483871,15032.838709677419,15518.129032258064
2002,2,60322.857142857145,4269.0,13549.035714285714,15298.42857142857
2002,3,42350.8064516129,3280.064516129032,10401.58064516129,12727.645161290322
2002,4,26746.366666666665,2494.9666666666667,6770.6,12106.433333333332
2002,5,25732.322580645163,6735.354838709677,3223.032258064516,5941.741935483871
2002,6,18768.5,6796.333333333333,2601.0666666666666,2851.866666666667
2002,7,16434.290322580644,4544.548387096775,2458.1612903225805,1626.4516129032259
2002,8,14946.645161290322,7666.032258064516,1924.483870967742,1129.8064516129032
2002,9,15883.8,10146.633333333333,1485.4,996.3333333333334
2002,10,11874.645161290322,12844.516129032258,1951.8387096774193,1137.4193548387098
2002,11,20492.9,12140.466666666667,2648.366666666667,1691.9666666666667
2002,12,31570.870967741936,11607.129032258064,5136.741935483871,2440.0967741935483
2003,1,53641.67741935484,5576.967741935484,11611.774193548386,5696.870967741936
2003,2,56501.92857142857,6304.357142857143,12923.42857142857,9004.42857142857
2003,3,43648.290322580644,5888.4838709677415,7871.870967741936,12130.677419354839
2003,4,38173.23333333333,2830.366666666667,7735.366666666667,13533.133333333333
2003,5,24329.516129032258,2743.935483870968,4053.935483870968,7549.8387096774195
2003,6,20893.4,5529.833333333333,2914.266666666667,3231.2
2003,7,17978.354838709678,5153.193548387097,2622.0,1787.3548387096773
2003,8,14321.870967741936,2319.8709677419356,2219.8387096774195,1263.774193548387
2003,9,13774.566666666668,1996.8666666666666,2033.1666666666667,978.7
2003,10,14434.290322580646,3893.3548387096776,1518.9354838709678,998.3548387096774
2003,11,19714.766666666666,5374.333333333333,2463.3,1948.1333333333334
2003,12,31096.16129032258,11929.483870967742,4617.580645161291,2974.3870967741937
2004,1,41870.74193548387,6761.548387096775,13522.806451612903,6809.064516129032
2004,2,63077.862068965514,3298.896551724138,19414.103448275862,18979.275862068964
2004,3,55638.0,2422.7096774193546,20132.483870967742,20339.74193548387
2004,4,42595.73333333333,2683.0,15870.033333333333,18466.1
2004,5,34322.32258064516,6385.032258064516,8724.064516129032,9974.741935483871
2004,6,31063.1,6369.166666666667,4474.266666666666,3871.5666666666666
2004,7,25748.09677419355,8869.290322580646,3871.7419354838707,2262.7096774193546
2004,8,17926.16129032258,3329.064516129032,3017.5806451612902,1596.7096774193549
2004,9,14056.066666666668,5227.433333333333,2706.8,1278.0333333333333
2004,10,20414.09677419355,10080.741935483871,2703.8709677419356,1331.6774193548388
2004,11,24341.166666666668,9840.633333333333,3125.8333333333335,1956.4333333333334
2004,12,36949.096774193546,4367.032258064516,5343.677419354839,3237.064516129032
2005,1,62062.032258064515,3984.6451612903224,11854.741935483871,5490.096774193548
2005,2,53792.78571428572,2143.1071428571427,14971.642857142857,10829.17857142857
2005,3,50460.290322580644,1780.7096774193549,14587.354838709678,15586.451612903225
2005,4,33775.166666666664,4132.766666666666,12430.466666666667,13191.2
2005,5,28437.225806451614,9577.483870967742,6712.612903225807,9162.354838709678
2005,6,26004.1,12315.166666666666,4432.666666666667,3583.633333333333
2005,7,19796.677419354837,6845.129032258064,3575.6129032258063,1954.4193548387098
2005,8,15771.645161290322,5412.064516129032,2978.3870967741937,1232.258064516129
2005,9,18677.033333333333,18923.966666666667,2909.0,997.1666666666666
2005,10,22236.83870967742,21746.032258064515,2741.032258064516,1066.4193548387098
2005,11,26776.266666666666,9469.933333333332,4067.766666666667,1463.5
2005,12,52106.096774193546,3190.5806451612902,13048.774193548386,4933.225806451613
2006,1,43278.8064516129,3270.3548387096776,12968.967741935483,8716.322580645161
2006,2,45280.82142857143,3069.5,6987.785714285715,8862.392857142857
2006,3,53957.290322580644,3035.935483870968,10624.741935483871,11192.935483870968
2006,4,46596.46666666667,2445.5333333333333,13384.933333333332,17566.5
2006,5,27371.1935483871,1205.3548387096773,7086.870967741936,14126.387096774193
2006,6,22055.366666666665,1734.7,3951.8,5098.5
2006,7,19492.322580645163,2325.3870967741937,3254.516129032258,2377.3548387096776
2006,8,16696.645161290322,3726.7096774193546,3039.4193548387098,1485.774193548387
2006,9,17776.533333333333,4250.533333333334,2917.0,1199.7
2006,10,24904.483870967742,4091.451612903226,3943.6451612903224,1524.516129032258
2006,11,27275.533333333333,5252.133333333333,8542.733333333334,3070.9333333333334
