index,start_date,end_date
1,2015-01-01,2015-01-08
2,2015-01-08,2015-01-15
3,2015-01-15,2015-01-22
4,2015-01-22,2015-02-01
5,2015-02-01,2015-03-01
6,2015-03-01,2015-04-01
7,2015-04-01,2015-05-01
8,2015-05-01,2015-06-01
9,2015-06-01,2015-07-01
10,2015-07-01,2015-08-01
11,2015-08-01,2015-09-01
12,2015-09-01,2015-10-01
13,2015-10-01,2015-11-01
14,2015-11-01,2015-12-01
15,2015-12-01,2016-01-01
