bus_id,stage_index,value
1,1,83756.4
1,2,85764.0
1,3,85134.0
1,4,82446.0
1,5,78916.8
1,6,76741.20000000001
1,7,75662.4
1,8,77054.4
1,9,77878.8
1,10,79538.4
1,11,79503.59999999999
1,12,78771.6
1,13,83756.4
1,14,85764.0
1,15,85134.0
1,16,82446.0
1,17,78916.8
1,18,76741.20000000001
1,19,75662.4
1,20,77054.4
1,21,77878.8
1,22,79538.4
1,23,79503.59999999999
1,24,78771.6
1,25,83756.4
1,26,85764.0
1,27,85134.0
1,28,82446.0
1,29,78916.8
1,30,76741.20000000001
1,31,75662.4
1,32,77054.4
1,33,77878.8
1,34,79538.4
1,35,79503.59999999999
1,36,78771.6
1,37,83756.4
1,38,85764.0
1,39,85134.0
1,40,82446.0
1,41,78916.8
1,42,76741.20000000001
1,43,75662.4
1,44,77054.4
1,45,77878.8
1,46,79538.4
1,47,79503.59999999999
1,48,78771.6
1,49,83756.4
1,50,85764.0
1,51,85134.0
1,52,82446.0
1,53,78916.8
1,54,76741.20000000001
1,55,75662.4
1,56,77054.4
1,57,77878.8
1,58,79538.4
1,59,79503.59999999999
1,60,78771.6
1,61,83756.4
1,62,85764.0
1,63,85134.0
1,64,82446.0
1,65,78916.8
1,66,76741.20000000001
1,67,75662.4
1,68,77054.4
1,69,77878.8
1,70,79538.4
1,71,79503.59999999999
1,72,78771.6
1,73,83756.4
1,74,85764.0
1,75,85134.0
1,76,82446.0
1,77,78916.8
1,78,76741.20000000001
1,79,75662.4
1,80,77054.4
1,81,77878.8
1,82,79538.4
1,83,79503.59999999999
1,84,78771.6
1,85,83756.4
1,86,85764.0
1,87,85134.0
1,88,82446.0
1,89,78916.8
1,90,76741.20000000001
1,91,75662.4
1,92,77054.4
1,93,77878.8
1,94,79538.4
1,95,79503.59999999999
1,96,78771.6
1,97,83756.4
1,98,85764.0
1,99,85134.0
1,100,82446.0
1,101,78916.8
1,102,76741.20000000001
1,103,75662.4
1,104,77054.4
1,105,77878.8
1,106,79538.4
1,107,79503.59999999999
1,108,78771.6
1,109,83756.4
1,110,85764.0
1,111,85134.0
1,112,82446.0
1,113,78916.8
1,114,76741.20000000001
1,115,75662.4
1,116,77054.4
1,117,77878.8
1,118,79538.4
1,119,79503.59999999999
1,120,78771.6
