iteration,bound,simulation_value,num_cuts_generated,wall_time_s,has_converged
49,1.1091187873559955e8,1.505110045909597e7,5,0.00533604621887207,false
50,1.110789476451004e8,5.2664372988287166e7,17,0.016563892364501953,false
51,1.1913977870131004e8,1.6847717996690324e8,27,0.02575993537902832,false
52,1.1921220295582455e8,7.43012657954912e7,15,0.014793157577514648,false
53,1.1921333784910779e8,3.2602546599999964e6,1,0.0016808509826660156,false
54,1.1922322659916131e8,2.477460463537793e7,7,0.007537126541137695,false
55,1.1932552248184744e8,4.548613966545874e7,14,0.014127016067504883,false
56,1.213848163093795e8,2.0006381833979335e8,35,0.0357358455657959,false
57,1.214249848457079e8,2.691197175899382e7,8,0.008702993392944336,false
58,1.2143987084227285e8,1.0122964289999992e7,3,0.004060029983520508,false
59,1.2152135125615422e8,9.61852507375966e7,15,0.016968965530395508,false
60,1.2184819559699087e8,3.635504165206832e7,9,0.01038217544555664,false
61,1.2229245708471665e8,1.0458679581298772e8,17,0.019040822982788086,false
62,1.2230081258639908e8,6.753575519062594e6,2,0.002710103988647461,false
63,1.2232289458577268e8,4.227098415091336e7,11,0.011826038360595703,false
64,1.2242807502559696e8,3.421125032751014e8,49,0.05408906936645508,false
65,1.2280782192091234e8,1.5826694214373046e8,29,0.03354287147521973,false
66,1.2287558549928947e8,1.0270377331812006e8,17,0.019770145416259766,false
67,1.2463684731293318e8,5.954436568353458e7,13,0.014741897583007812,false
68,1.2465046078695293e8,2.361411640798174e7,7,0.007350921630859375,false
69,1.2465097341159727e8,6.238908862096369e6,2,0.002897977828979492,false
70,1.2508391677661003e8,3.544287687061347e7,8,0.010040998458862305,false
71,1.2518459283332787e8,2.843799616337522e8,28,0.03187918663024902,false
72,1.25206023117121e8,2.1833116804360464e7,7,0.009030818939208984,false
73,1.2522295195903873e8,4.196639060491623e7,12,0.01485300064086914,false
74,1.2528448415547682e8,2.6332608597230658e7,8,0.01041412353515625,false
75,1.2530127483783606e8,6.7375807033433765e6,2,0.0034019947052001953,false
76,1.2531758692283575e8,6.071534112175962e7,14,0.016643047332763672,false
77,1.2535373726450591e8,3.655247217682831e7,12,0.013949871063232422,false
78,1.2553217144959031e8,6.572811477331714e7,16,0.019546985626220703,false
79,1.255874744570139e8,6.648889417765111e6,2,0.003245115280151367,false
80,1.2559954447543111e8,1.5816530238186598e7,4,0.006048917770385742,false
81,1.257843102591637e8,4.986351761583942e7,12,0.014529943466186523,false
82,1.2639209339880961e8,1.6514824261460277e8,30,0.03476214408874512,false
83,1.2659063272514546e8,1.7871966187900662e7,5,0.00647282600402832,false
84,1.2665323069325377e8,3.3685836099999994e6,1,0.002006053924560547,false
85,1.2717077235351522e8,1.6190654368006328e8,34,0.03978300094604492,false
86,1.272745827424503e8,9.452568981273413e7,19,0.02419114112854004,false
87,1.2733570431515211e8,5.469042072218023e7,11,0.014585018157958984,false
88,1.2737080673958749e8,9.63278147086857e7,15,0.019598007202148438,false
89,1.274660320888926e8,6.85528359334249e7,17,0.022064924240112305,false
90,1.2748673097541851e8,6.754122389470473e6,2,0.0036399364471435547,false
91,1.2751626953767954e8,1.632796390800795e7,5,0.007005929946899414,false
92,1.2754948287443244e8,4.943792755667211e7,9,0.011638164520263672,false
93,1.2756913800716469e8,9.997669581123918e6,3,0.004804849624633789,false
94,1.2763034550076786e8,1.8001506284587324e7,4,0.006324052810668945,false
95,1.2766417733924544e8,3.637465875660294e7,11,0.014292001724243164,false
96,1.2767771345669863e8,1.2567326042215362e7,4,0.006281137466430664,false
97,1.2770929253939e8,6.872772278200924e6,2,0.004105806350708008,false
98,1.2772752071509787e8,1.2876961214719549e7,4,0.006234169006347656,false
99,1.277437322592719e8,1.4287690725206852e8,20,0.025929927825927734,false
100,1.2776388485377935e8,3.1406815589048892e7,8,0.01152491569519043,false
101,1.2777241632804795e8,7.822346496647179e6,2,0.0038750171661376953,false
102,1.2777640806364293e8,1.2082305912983567e7,3,0.005110025405883789,false
103,1.2777689258733818e8,5.512767641771829e7,13,0.01789999008178711,false
104,1.2780422194896136e8,5.497456013703202e7,12,0.01681208610534668,false
105,1.2787177099329422e8,1.2481589533335161e8,27,0.036427974700927734,false
106,1.2789752757062797e8,1.0103682513077797e8,22,0.02981090545654297,false
107,1.2791103876433694e8,1.4027033917982608e7,3,0.005346059799194336,false
108,1.2792502368565859e8,5.822243561678326e7,13,0.018338918685913086,false
109,1.2795412544167963e8,1.796538970284517e7,5,0.00740814208984375,false
110,1.2800998013534631e8,1.636935222452752e8,30,0.038630008697509766,false
111,1.2802804921092126e8,5.356805284748633e7,10,0.014745950698852539,false
112,1.2803560240999682e8,1.3171065744154334e7,4,0.006122112274169922,false
113,1.2804189824015084e8,3.9773388696043596e7,13,0.017502784729003906,false
114,1.2804361890567616e8,2.8050804904679224e7,9,0.013529062271118164,false
115,1.2804854904174754e8,5.4186346166514814e7,14,0.02039813995361328,false
116,1.2805975555082346e8,6.628732729999989e6,2,0.004103899002075195,false
117,1.2812056136793934e8,1.702453843553412e7,4,0.007502079010009766,false
118,1.2813845243980844e8,2.547194625404993e8,35,0.05103302001953125,false
119,1.2817535172986802e8,9.501774667535706e7,15,0.023408889770507812,false
120,1.2822066569641061e8,8.696569635221723e7,18,0.025063037872314453,false
121,1.2823472642195278e8,3.8934290197027457e8,62,0.08644700050354004,false
122,1.2824710825492513e8,1.5347029467918053e7,5,0.008827924728393555,false
123,1.2836769517827491e8,7.818592354693608e7,22,0.030004024505615234,false
124,1.2841752620048566e8,2.100868633665219e7,6,0.010462045669555664,false
125,1.284668119911488e8,2.524684459632002e7,7,0.010768890380859375,false
126,1.285264718343351e8,8.203270864382191e7,21,0.028873205184936523,false
127,1.2854952975006285e8,3.734453452652475e7,11,0.014842987060546875,false
128,1.2856458226319161e8,3.2445541599999964e6,1,0.002666950225830078,false
129,1.2860140859136662e8,4.2448924985180944e7,8,0.013278007507324219,false
130,1.2860423981855848e8,1.1903595490826398e7,4,0.0067670345306396484,false
131,1.2860953176523066e8,6.6148451464833915e6,2,0.00429987907409668,false
132,1.2866948502418594e8,5.960826096970081e7,15,0.021347999572753906,false
133,1.2867626762658139e8,2.1987353296743855e7,7,0.010384082794189453,false
134,1.2867819313842383e8,6.509293951643258e6,2,0.004199981689453125,false
135,1.2869467247647944e8,6.01872485772807e7,11,0.016607999801635742,false
136,1.2871119145768377e8,3.2445541599999964e6,1,0.0028848648071289062,false
137,1.2871419220021227e8,3.2445541599999964e6,1,0.002892017364501953,false
138,1.2872597153496434e8,1.2306485341495703e8,24,0.03549504280090332,false
139,1.2873460096131167e8,7.2625953298146725e6,2,0.004358053207397461,false
140,1.2877149801754059e8,1.8846148149600163e7,5,0.008218050003051758,false
141,1.2879418139712372e8,3.2602546599999964e6,1,0.0029048919677734375,false
142,1.2879906824768026e8,5.1895560189764604e7,13,0.019223928451538086,false
143,1.2881082731954095e8,2.746515318062623e7,8,0.012075185775756836,false
144,1.2883566152434045e8,2.1535495265154988e7,6,0.010542869567871094,false
145,1.288393944262051e8,4.607821680414592e7,10,0.015851974487304688,false
146,1.2886914521059597e8,8.607117097226839e7,21,0.03126406669616699,false
147,1.2892514892465025e8,3.291827614385076e7,7,0.011567115783691406,false
148,1.2894140257175948e8,6.97884682798404e7,22,0.030536890029907227,false
149,1.2895336883602606e8,5.330880470119044e7,11,0.017035961151123047,false
150,1.2896171721193185e8,2.287810447191888e7,8,0.011667013168334961,false
151,1.2898014013603391e8,4.6166306542476445e7,10,0.01618814468383789,false
152,1.2899816376137917e8,3.8264745096903816e7,12,0.01731395721435547,false
153,1.2900038828511938e8,8.43143871844307e7,21,0.03156399726867676,false
154,1.2900666312966427e8,8.206888301191503e7,18,0.0271148681640625,false
155,1.2901090703348657e8,8.235025735092463e7,19,0.03009200096130371,false
156,1.2902592558337942e8,4.229511376287207e7,12,0.01904296875,false
157,1.2903107730968766e8,3.2445334390625954e6,1,0.002960205078125,false
158,1.2904108900325933e8,5.6031875596113e7,13,0.023350000381469727,false
159,1.2904558512775107e8,9.369442688963711e6,3,0.006056785583496094,false
160,1.290464855500368e8,2.819722425065422e7,8,0.01377105712890625,false
161,1.2905318684468412e8,1.0108751842240393e7,3,0.006687164306640625,false
162,1.2907168089380157e8,5.369509895823778e7,14,0.0238039493560791,false
163,1.2907184405454992e8,6.628732729999989e6,2,0.004534006118774414,false
164,1.2910932862876177e8,1.0125007041137546e7,3,0.006090879440307617,false
165,1.2911005837204787e8,3.2602546599999964e6,1,0.0029239654541015625,false
166,1.2911231468613374e8,1.3384540447352752e7,4,0.007304191589355469,false
167,1.291138662094748e8,1.3099037479337946e7,4,0.0075228214263916016,false
168,1.2912060462224536e8,1.0128689613569632e7,3,0.006040096282958984,false
169,1.2912290628574677e8,5.874610873633593e7,13,0.021626949310302734,false
170,1.2915844174615727e8,3.1327968760661006e7,7,0.012407064437866211,false
171,1.2918139357527554e8,1.0980705954819322e8,22,0.037071943283081055,false
172,1.2918779832556927e8,2.7030036995957896e7,8,0.013431072235107422,false
173,1.2921959844096649e8,2.022380352225621e7,6,0.010963916778564453,false
174,1.2922375543870738e8,3.2445541599999964e6,1,0.003134012222290039,false
175,1.2925168224115193e8,9.430612741399199e7,17,0.02942800521850586,false
176,1.2925379347266725e8,1.188477477161348e8,25,0.04019594192504883,false
177,1.2927647066675267e8,2.1788618792667776e7,6,0.010868072509765625,false
178,1.292808024059715e8,6.867873955254704e6,2,0.004730939865112305,false
179,1.2928291608568273e8,1.8421505961430073e7,5,0.008973121643066406,false
180,1.2928989803345396e8,1.0146581979526249e8,18,0.031520843505859375,false
181,1.2929420987957615e8,6.234321810961202e6,2,0.004686117172241211,false
182,1.2931427042549911e8,1.0627577367812395e7,3,0.006426095962524414,false
183,1.2932411979820463e8,6.0171515333183646e7,17,0.028918981552124023,false
184,1.293381468362197e8,6.6298459450389445e6,2,0.004621982574462891,false
185,1.2936680921180984e8,5.4684860821985796e7,10,0.016880035400390625,false
186,1.2937195069994742e8,8.041235910396828e7,17,0.02903580665588379,false
187,1.2938107666896467e8,1.7125832860636947e8,32,0.0543670654296875,false
188,1.2939028499810144e8,6.613664148156986e6,2,0.004822969436645508,false
189,1.2939298779145405e8,1.3029199470094636e7,4,0.007920026779174805,false
190,1.2940044722179675e8,8.515695088424765e7,16,0.02732396125793457,false
191,1.2940493114871518e8,6.660707005187914e7,19,0.031931161880493164,false
192,1.2941625649456777e8,7.264690089626189e7,19,0.0332338809967041,false
193,1.2941992271947558e8,1.2475026814804442e8,25,0.04258608818054199,false
194,1.2942142706983757e8,8.115925585767564e7,18,0.0308840274810791,false
195,1.2943717907900889e8,4.537704355775617e7,14,0.023218870162963867,false
196,1.2944129288000561e8,5.5221290766188964e7,14,0.0244600772857666,false
197,1.2951285618065515e8,3.3434704930506945e7,7,0.013254880905151367,false
198,1.2952034992392188e8,1.9017017534936258e8,36,0.06124305725097656,false
