iteration,bound,simulation_value,num_cuts_generated,wall_time_s,has_converged
28,1.0805342173575097e8,2.7686659322367698e7,9,0.008682012557983398,false
29,1.0805837710228819e8,5.103646737613648e6,2,0.0023071765899658203,false
30,1.0813062474082018e8,2.6211773884502143e7,9,0.008278846740722656,false
31,1.1276794410711792e8,9.931124811564142e7,22,0.021023988723754883,false
32,1.1297546732312347e8,1.2203040249864702e8,28,0.02447795867919922,false
33,1.1345066343134756e8,1.7513705573132753e7,4,0.004268169403076172,false
34,1.1352560893365914e8,3.3685836099999994e6,1,0.0014739036560058594,false
35,1.1352735585334425e8,2.973827829999998e6,1,0.0015201568603515625,false
36,1.1377794331376885e8,1.7202654950336263e7,6,0.005436897277832031,false
37,1.1391893049438058e8,1.1258904773154706e7,4,0.003771066665649414,false
38,1.1392024843577167e8,3.3685836099999994e6,1,0.0015020370483398438,false
39,1.1402896871229246e8,2.5474058559085503e7,9,0.008648872375488281,false
40,1.1417190727596864e8,4.7878338678814575e7,16,0.015439033508300781,false
41,1.1428300326883723e8,9.603444392561078e6,3,0.0036458969116210938,false
42,1.143161892106489e8,6.343169078637317e6,2,0.002454042434692383,false
43,1.1433329603434668e8,1.0785317285022318e7,4,0.0041429996490478516,false
44,1.1437856758078042e8,6.342305900000006e6,2,0.0025930404663085938,false
45,1.144104494172223e8,6.73729239772141e6,2,0.0027430057525634766,false
46,1.144111765508072e8,5.310432077337369e6,2,0.002652883529663086,false
47,1.1441751043307097e8,6.613213925282031e6,2,0.003074169158935547,false
48,1.1442505141136254e8,1.5128643822384521e7,4,0.0047838687896728516,false
49,1.1443837400899316e8,1.3182746691783205e7,5,0.005120992660522461,false
50,1.1443843094553466e8,5.1054155565283135e7,17,0.017420053482055664,false
51,1.192860042861661e8,1.7071213916143838e8,27,0.025485992431640625,false
52,1.1933235984156324e8,7.656276543268919e7,15,0.01384115219116211,false
53,1.1933423846683827e8,3.385118170000002e6,1,0.0015587806701660156,false
54,1.1934485092182066e8,3.01406133296365e7,7,0.007335186004638672,false
55,1.1956307385762696e8,4.777002018797031e7,14,0.012826919555664062,false
56,1.2158449968216003e8,1.9983802750423232e8,35,0.032742977142333984,false
57,1.2175517128633511e8,2.8183619262078002e7,8,0.007314920425415039,false
58,1.2178400089808437e8,9.603321539999992e6,3,0.003014087677001953,false
59,1.218851503697537e8,9.96890244893801e7,15,0.01572394371032715,false
60,1.2222442773288783e8,3.3929076815127e7,9,0.00906515121459961,false
61,1.2333962044044028e8,1.0917117869487299e8,17,0.016585826873779297,false
62,1.2339191979206298e8,7.449765849062592e6,2,0.0024170875549316406,false
63,1.2341709503903374e8,3.994379037449619e7,11,0.011679887771606445,false
64,1.2352503724392031e8,3.3994895969608593e8,49,0.05168509483337402,false
65,1.2363888184607804e8,1.5671402095673275e8,29,0.03066706657409668,false
66,1.2364907082047358e8,9.351900911035559e7,17,0.01677989959716797,false
67,1.239340501661885e8,5.493759893066725e7,13,0.013651132583618164,false
68,1.2396605146178734e8,2.2769189641184375e7,7,0.006724834442138672,false
69,1.2397371987247701e8,5.398426532096371e6,2,0.0026140213012695312,false
70,1.2429048625154273e8,3.236566702322504e7,8,0.00970911979675293,false
71,1.2455439055693235e8,2.866631137350017e8,28,0.027292966842651367,false
72,1.247399174671387e8,2.1103331234360456e7,7,0.0075070858001708984,false
73,1.2493339885881002e8,4.096644546612187e7,12,0.010788917541503906,false
74,1.2525420001986638e8,2.4849315971079364e7,8,0.008167028427124023,false
75,1.2527600098040149e8,6.505222303343371e6,2,0.002537965774536133,false
76,1.2528072519917841e8,5.938596792652407e7,14,0.013743877410888672,false
77,1.2530691125965872e8,3.881565774192771e7,12,0.011232137680053711,false
78,1.2556052309357889e8,6.733713523896505e7,16,0.016759872436523438,false
79,1.2565146637485205e8,6.716525437256709e6,2,0.0027370452880859375,false
80,1.2566550749553035e8,1.5418108274402335e7,4,0.004828929901123047,false
81,1.2589490575033845e8,5.0495182849283144e7,12,0.012620210647583008,false
82,1.2648842719099274e8,1.6488952464805788e8,30,0.030900955200195312,false
83,1.2677486100925682e8,1.660925541790016e7,5,0.005682945251464844,false
84,1.2680350692049824e8,3.3685836099999994e6,1,0.001522064208984375,false
85,1.2748954366622847e8,1.6503555014577872e8,34,0.03558087348937988,false
86,1.2758026238039392e8,9.317104093481502e7,19,0.021303176879882812,false
87,1.2775649673642829e8,5.34116931966576e7,11,0.011642932891845703,false
88,1.2784756547476599e8,9.517123237085599e7,15,0.017668962478637695,false
89,1.2800641356258193e8,7.01819488039033e7,17,0.019701004028320312,false
90,1.2803263029255415e8,7.139944123569429e6,2,0.0029680728912353516,false
91,1.2806852189219502e8,1.676147927800794e7,5,0.005676984786987305,false
92,1.280983585115366e8,4.952901123998077e7,9,0.010025978088378906,false
93,1.2811797463438058e8,9.997669581123903e6,3,0.0038650035858154297,false
94,1.2818332589307134e8,1.7872913374587283e7,4,0.0047910213470458984,false
95,1.2821336395541972e8,3.769075931521267e7,11,0.014041900634765625,false
96,1.2822370759762603e8,1.296669025221537e7,4,0.005198001861572266,false
97,1.282567482715845e8,6.770493878200918e6,2,0.0031309127807617188,false
98,1.2827517740272845e8,1.3271950464719519e7,4,0.005259037017822266,false
99,1.2829203848321488e8,1.4199744626958206e8,20,0.02331709861755371,false
100,1.2830817447897354e8,3.1797434060846046e7,8,0.010153055191040039,false
101,1.2832384708036844e8,7.2714257186625e6,2,0.0030679702758789062,false
102,1.283260142659937e8,1.1871885132983565e7,3,0.004760026931762695,false
103,1.2833050397399461e8,5.704672512528378e7,13,0.015533924102783203,false
104,1.2835307397752404e8,5.852053442767443e7,12,0.013852119445800781,false
105,1.2839373837013836e8,1.2612653866376542e8,27,0.03027796745300293,false
106,1.284231297177164e8,1.0665444210634333e8,22,0.024890899658203125,false
107,1.284501280666375e8,1.2877581557982624e7,3,0.0042400360107421875,false
108,1.284849393267075e8,5.175153506335285e7,13,0.015430927276611328,false
109,1.2849704837205148e8,1.889051980284521e7,5,0.005857944488525391,false
110,1.2853973042650297e8,1.6869350915601057e8,30,0.03168821334838867,false
111,1.2855643439014475e8,5.6420829798966944e7,10,0.012736797332763672,false
112,1.2856487488618487e8,1.329510303741841e7,4,0.00500798225402832,false
113,1.2856898331085835e8,4.126824329838361e7,13,0.014112234115600586,false
114,1.285697781316736e8,2.8814838987737298e7,9,0.010111808776855469,false
115,1.2857027698111694e8,5.2569217187354416e7,14,0.016822099685668945,false
116,1.2857265257989906e8,6.737061679999992e6,2,0.003092050552368164,false
117,1.2859426421454985e8,1.866611549553415e7,4,0.0055828094482421875,false
118,1.2862031926331289e8,2.5536229633492762e8,35,0.04022407531738281,false
119,1.286292989939261e8,9.542658851415485e7,15,0.017986059188842773,false
120,1.2864579394596829e8,8.650755348639926e7,18,0.021319866180419922,false
121,1.2865205794621743e8,3.839769187238131e8,62,0.07002615928649902,false
122,1.2866106729871821e8,1.6596559340531513e7,5,0.006466865539550781,false
123,1.2869654990066077e8,7.830046857538259e7,22,0.024087190628051758,false
124,1.2874139712581153e8,2.208583486665216e7,6,0.00757288932800293,false
125,1.2874917961001849e8,2.708958399632004e7,7,0.008484125137329102,false
126,1.2878372976525399e8,8.077677802742839e7,21,0.023375988006591797,false
127,1.2880718474862625e8,3.877097339689033e7,11,0.0125579833984375,false
128,1.2881543611011243e8,3.3685836099999994e6,1,0.0018489360809326172,false
129,1.2883847669057569e8,4.221443382437864e7,8,0.010554075241088867,false
130,1.2884110611531356e8,1.2116550859999985e7,4,0.004936933517456055,false
131,1.2884441801740673e8,6.6305456464833915e6,2,0.0030548572540283203,false
132,1.288857111492379e8,5.974536100240214e7,15,0.017893075942993164,false
133,1.2889153854183781e8,2.2050537065544784e7,7,0.008095979690551758,false
134,1.2890037617197941e8,6.540694951643258e6,2,0.0030231475830078125,false
135,1.2891123483762155e8,6.025339788332972e7,11,0.013672828674316406,false
136,1.2893278630988957e8,3.2602546599999964e6,1,0.0018739700317382812,false
137,1.2893595451398101e8,3.2602546599999964e6,1,0.0019571781158447266,false
138,1.289440227028892e8,1.2463455113727501e8,24,0.028558015823364258,false
139,1.2895769168832459e8,7.605833539814651e6,2,0.0031239986419677734,false
140,1.2897147189909066e8,1.898671215960017e7,5,0.006268978118896484,false
141,1.2899458465381333e8,3.3685836099999994e6,1,0.0018219947814941406,false
142,1.2900268404852654e8,5.0684624450286314e7,13,0.014513969421386719,false
143,1.2901547688498494e8,2.7757202975811034e7,8,0.009145021438598633,false
144,1.2903739986401093e8,2.1618787247322455e7,6,0.007431983947753906,false
145,1.2904138429974361e8,4.771193060826713e7,10,0.012603044509887695,false
146,1.2906919349175926e8,8.750171145827599e7,21,0.02411198616027832,false
147,1.2913463406318754e8,3.360440467203815e7,7,0.009325981140136719,false
148,1.2914853020783998e8,7.093381124807121e7,22,0.023675918579101562,false
149,1.291722675525852e8,5.003775538818769e7,11,0.013148069381713867,false
150,1.2918209300939512e8,2.2844307114280477e7,8,0.008940935134887695,false
151,1.2920070518810225e8,4.54147763641651e7,10,0.01262211799621582,false
152,1.2920820876746958e8,3.9355639062631845e7,12,0.013681888580322266,false
