bus_id,stage_index,value
1,1,110445.11082300708
1,2,113092.42618623031
1,3,112261.6786873109
1,4,108717.1560252547
1,5,104063.38765511753
1,6,101194.53962551581
1,7,99771.98343212807
1,8,101607.53981069288
1,9,102694.63225213603
1,10,104883.05852071801
1,11,104837.16961125389
1,12,103871.92013631896
1,13,110445.11082300708
1,14,113092.42618623031
1,15,112261.6786873109
1,16,108717.1560252547
1,17,104063.38765511753
1,18,101194.53962551581
1,19,99771.98343212807
1,20,101607.53981069288
1,21,102694.63225213603
1,22,104883.05852071801
1,23,104837.16961125389
1,24,103871.92013631896
1,25,110445.11082300708
1,26,113092.42618623031
1,27,112261.6786873109
1,28,108717.1560252547
1,29,104063.38765511753
1,30,101194.53962551581
1,31,99771.98343212807
1,32,101607.53981069288
1,33,102694.63225213603
1,34,104883.05852071801
1,35,104837.16961125389
1,36,103871.92013631896
1,37,110445.11082300708
1,38,113092.42618623031
1,39,112261.6786873109
1,40,108717.1560252547
1,41,104063.38765511753
1,42,101194.53962551581
1,43,99771.98343212807
1,44,101607.53981069288
1,45,102694.63225213603
1,46,104883.05852071801
1,47,104837.16961125389
1,48,103871.92013631896
1,49,110445.11082300708
1,50,113092.42618623031
1,51,112261.6786873109
1,52,108717.1560252547
1,53,104063.38765511753
1,54,101194.53962551581
1,55,99771.98343212807
1,56,101607.53981069288
1,57,102694.63225213603
1,58,104883.05852071801
1,59,104837.16961125389
1,60,103871.92013631896
1,61,110445.11082300708
1,62,113092.42618623031
1,63,112261.6786873109
1,64,108717.1560252547
1,65,104063.38765511753
1,66,101194.53962551581
1,67,99771.98343212807
1,68,101607.53981069288
1,69,102694.63225213603
1,70,104883.05852071801
1,71,104837.16961125389
1,72,103871.92013631896
1,73,110445.11082300708
1,74,113092.42618623031
1,75,112261.6786873109
1,76,108717.1560252547
1,77,104063.38765511753
1,78,101194.53962551581
1,79,99771.98343212807
1,80,101607.53981069288
1,81,102694.63225213603
1,82,104883.05852071801
1,83,104837.16961125389
1,84,103871.92013631896
1,85,110445.11082300708
1,86,113092.42618623031
1,87,112261.6786873109
1,88,108717.1560252547
1,89,104063.38765511753
1,90,101194.53962551581
1,91,99771.98343212807
1,92,101607.53981069288
1,93,102694.63225213603
1,94,104883.05852071801
1,95,104837.16961125389
1,96,103871.92013631896
1,97,110445.11082300708
1,98,113092.42618623031
1,99,112261.6786873109
1,100,108717.1560252547
1,101,104063.38765511753
1,102,101194.53962551581
1,103,99771.98343212807
1,104,101607.53981069288
1,105,102694.63225213603
1,106,104883.05852071801
1,107,104837.16961125389
1,108,103871.92013631896
1,109,110445.11082300708
1,110,113092.42618623031
1,111,112261.6786873109
1,112,108717.1560252547
1,113,104063.38765511753
1,114,101194.53962551581
1,115,99771.98343212807
1,116,101607.53981069288
1,117,102694.63225213603
1,118,104883.05852071801
1,119,104837.16961125389
1,120,103871.92013631896
