id,name,downstream_id,bus_id,productivity,initial_storage,min_storage,max_storage,min_generation,max_generation,spillage_penalty
1,"1",-,1,1.0,102039.15,0.0,204078.3,0.0,45578.9,1
2,"2",-,1,1.0,9964.6,0.0,19929.2,0.0,13967.0,1
